Index, State, Days, Rate
4150,closed,1518.101514,2.733677532
4100,closed,1447.313308,2.832835142
4050,closed,1395.372718,2.902450326
4000,closed,1350.137306,2.962661636
3950,closed,1309.45344,3.016525734
3900,closed,1283.279742,3.039087949
3850,closed,1247.077925,3.087216863
3800,closed,1213.103045,3.132462667
3750,closed,1179.299943,3.179852608
3700,closed,1136.271877,3.256262939
3650,closed,1119.268647,3.261058021
3600,closed,1104.038074,3.260757112
3550,closed,1079.257518,3.289298375
3500,closed,1060.013564,3.301844541
3450,closed,1038.656573,3.321598388
3400,closed,1016.306614,3.345447087
3350,closed,997.2963589,3.359081751
3300,closed,971.5906565,3.396492111
3250,closed,940.1315709,3.456962941
3200,closed,918.2542714,3.484873525
3150,closed,895.9533802,3.515807931
3100,closed,884.1951307,3.506013427
3050,closed,873.7861376,3.490556635
3000,closed,856.0070215,3.50464415
2950,closed,841.2250423,3.506790516
2900,closed,825.1291553,3.514601298
2850,open  ,814.1069562,3.500768515
2800,closed,803.8420271,3.483271471
2750,closed,789.1552909,3.484738722
2700,open  ,773.0373208,3.492716234
2650,closed,751.8796588,3.52450019
2600,closed,743.5305442,3.496830117
2550,closed,732.2285535,3.482519205
2500,open  ,714.9334494,3.496828974
2450,closed,697.1577781,3.514269047
2400,closed,684.7028294,3.505170268
2350,closed,666.2733155,3.527081072
2300,closed,647.7801835,3.550587157
2250,closed,635.0235399,3.543175738
2200,closed,617.3634521,3.563541043
2150,closed,603.2585563,3.56397763
2100,open  ,589.8836072,3.560024341
2050,closed,575.3178548,3.56324766
2000,closed,555.4220959,3.600865026
1950,closed,552.110788,3.531899833
1900,closed,550.1607928,3.453535811
1850,closed,547.7545081,3.377425421
1800,closed,525.11187,3.427841004
1750,closed,507.9360135,3.445315853
1700,closed,490.0039079,3.469360086
1650,closed,469.5474727,3.514021682
1600,closed,448.8841442,3.564394111
1550,closed,422.9960539,3.664336784
1500,closed,405.3346349,3.700646012
1450,closed,385.1923085,3.764353462
1400,closed,372.6971169,3.756401476
1350,closed,357.7792465,3.773276436
1300,closed,342.9072944,3.791112121
1250,closed,331.1670744,3.774529826
1200,closed,314.193503,3.819302399
1150,closed,302.0214544,3.807676518
1100,closed,286.7684733,3.835847041
1050,closed,271.4907766,3.867534703
1000,closed,251.4899288,3.97630237
950,closed,241.9602529,3.926264701
900,closed,228.9297333,3.931337301
850,closed,211.3197912,4.022339769
800,closed,198.1815601,4.036702505
750,closed,194.3025207,3.859960217
700,closed,189.1386123,3.700989404
650,closed,177.603485,3.659838094
600,closed,162.4008548,3.694561835
550,closed,147.2257274,3.735760112
500,closed,131.6784953,3.79712723
450,open  ,119.6346411,3.761452335
400,open  ,104.8024929,3.816703105
350,closed,83.85524751,4.173859244
300,closed,65.03381347,4.612984907
250,closed,56.98417225,4.387183144
200,closed,41.92556659,4.770358906
150,closed,30.01398093,4.99767093
100,open  ,17.5297148,5.70459937
50,open  ,8.699610619,5.747383669
