Issues, State, Cumulative Days, Rate(Bugs/Day)
50,open,10,5.02
100,closed,20,4.93
150,open,29,5.19
200,closed,40,4.98
250,closed,51,4.91
300,closed,66,4.54
350,closed,77,4.57
400,closed,94,4.25
450,closed,112,4.00
500,closed,126,3.97
550,closed,141,3.90
600,closed,158,3.80
650,open,169,3.85
700,closed,187,3.74
750,closed,198,3.79
800,closed,207,3.86
850,closed,211,4.03
900,open,223,4.04
950,closed,238,4.00
1000,closed,252,3.97
1050,closed,263,3.99
1100,open,277,3.98
1150,open,297,3.87
1200,closed,312,3.85
1250,closed,324,3.85
1300,closed,342,3.81
1350,closed,351,3.84
1400,closed,366,3.83
1450,open,383,3.79
1500,closed,395,3.80
1550,closed,412,3.77
1600,closed,432,3.71
1650,closed,454,3.64
1700,open,478,3.56
1750,closed,493,3.55
1800,closed,516,3.49
1850,closed,536,3.45
1900,closed,556,3.42
1950,closed,563,3.46
2000,open,566,3.53
2050,closed,568,3.61
2100,closed,582,3.61
2150,closed,597,3.60
2200,closed,615,3.58
2250,closed,629,3.58
2300,closed,646,3.56
2350,closed,657,3.58
2400,closed,676,3.55
2450,closed,694,3.53
2500,open,708,3.53
2550,closed,722,3.53
2600,closed,741,3.51
2650,closed,754,3.51
2700,closed,764,3.53
2750,closed,777,3.54
2800,closed,800,3.50
2850,closed,812,3.51
2900,closed,825,3.52
2950,closed,834,3.54
3000,closed,848,3.54
3050,closed,865,3.53
3100,closed,882,3.52
3150,closed,894,3.52
3200,closed,906,3.53
3250,closed,924,3.52
3300,closed,946,3.49
3350,closed,979,3.42
3400,closed,1009,3.37
3450,closed,1023,3.37
3500,closed,1047,3.34
3550,closed,1065,3.33
3600,closed,1087,3.31
3650,closed,1111,3.29
3700,closed,1130,3.28
3750,closed,1149,3.26
3800,open,1185,3.21
3850,closed,1218,3.16
3900,closed,1255,3.11
3950,closed,1288,3.07
4000,closed,1311,3.05
4050,closed,1353,2.99
4100,closed,1382,2.97
4150,closed,1444,2.87
4200,closed,1491,2.82
