Issues, State, Cumulative Days, Rate(Bugs/Day)
50,closed,10,4.96
100,closed,21,4.66
150,closed,33,4.55
200,closed,42,4.74
250,closed,51,4.92
300,closed,64,4.72
350,closed,75,4.64
400,open,91,4.39
450,closed,101,4.45
500,closed,118,4.25
550,open,138,3.98
600,closed,153,3.92
650,closed,165,3.94
700,closed,180,3.88
750,closed,196,3.83
800,open,213,3.75
850,open,223,3.81
900,closed,227,3.96
950,closed,232,4.10
1000,closed,245,4.09
1050,closed,263,3.99
1100,closed,276,3.99
1150,closed,285,4.03
1200,closed,306,3.92
1250,closed,320,3.91
1300,closed,335,3.88
1350,open,349,3.87
1400,closed,364,3.84
1450,closed,376,3.85
1500,closed,391,3.83
1550,closed,406,3.82
1600,closed,419,3.82
1650,closed,439,3.76
1700,closed,458,3.71
1750,closed,482,3.63
1800,closed,503,3.58
1850,closed,525,3.52
1900,closed,542,3.50
1950,closed,559,3.49
2000,closed,581,3.44
2050,open,583,3.52
2100,closed,585,3.59
2150,closed,589,3.65
2200,closed,609,3.61
2250,closed,624,3.61
2300,closed,637,3.61
2350,closed,652,3.61
2400,closed,668,3.59
2450,closed,682,3.59
2500,closed,700,3.57
2550,closed,718,3.55
2600,closed,731,3.56
2650,open,749,3.54
2700,closed,767,3.52
2750,open,778,3.54
2800,closed,785,3.57
2850,closed,808,3.53
2900,closed,824,3.52
2950,closed,837,3.52
3000,open,848,3.54
3050,closed,859,3.55
3100,closed,875,3.54
3150,open,892,3.53
3200,closed,907,3.53
3250,closed,917,3.54
3300,closed,931,3.55
3350,closed,952,3.52
3400,closed,973,3.49
3450,closed,1006,3.43
3500,closed,1031,3.39
3550,closed,1052,3.37
3600,closed,1072,3.36
3650,closed,1094,3.34
3700,open,1114,3.32
3750,closed,1138,3.30
3800,closed,1153,3.30
3850,open,1170,3.29
3900,open,1215,3.21
3950,closed,1247,3.17
4000,closed,1283,3.12
4050,closed,1318,3.07
4100,closed,1345,3.05
4150,closed,1385,3.00
4200,closed,1431,2.94
4250,closed,1487,2.86
4300,closed,1554,2.77
