Treatment, TP,, FP,, FN,, TN,, Accuracy,, Recall,, Fallout,, Precision,, F,, G,
, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq, med, irq
RF,16,1,35,2,16,1,226,2,82,1,50,3,13,1,30.5,2,38,2,63,2
RF(SMOTE),22,0,63,6,10,0,198,6,75,2,69,0,24,2,26,2,38,2,72,1
RF(Tune),17,2,29,3,15,2,232,3,85,0,53,6,11,1,37.5,2,44,3,67,5
"RF(SMOTE, Tune)",21.5,1,74.5,9,10.5,1,186.5,9,71.5,4,67.5,3,28.5,4,22.5,2,34.5,2,70,2
CART,16,0,40,0,16,0,221,0,81,0,50,0,15,0,29,0,36,0,63,0
CART(SMOTE),17,0,88,0,15,0,173,0,65,0,53,0,34,0,16,0,25,0,59,0
CART(Tune),20,0,49,0,12,0,212,0,79,0,63,0,19,0,29,0,40,0,71,0
"CART(SMOTE, Tune)",23,0,99,0,9,0,162,0,63,0,72,0,38,0,19,0,30,0,67,0
